Running 10m test @ http://localhost:9999/math/plus?x=1&y=2
  16 threads and 400 connections
  Thread calibration: mean lat.: 2.638ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.338ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.596ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.118ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.584ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.571ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.399ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.683ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.206ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.450ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.361ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.380ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.538ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.167ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.530ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.431ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     2.18ms    2.66ms 104.13ms   93.37%
    Req/Sec     1.32k   583.35     4.55k    70.50%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.50ms
 75.000%    2.47ms
 90.000%    4.11ms
 99.000%   13.53ms
 99.900%   31.82ms
 99.990%   50.24ms
 99.999%   75.52ms
100.000%  104.19ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.082     0.000000            1         1.00
       0.600     0.100000      1182781         1.11
       0.864     0.200000      2361392         1.25
       1.082     0.300000      3543290         1.43
       1.281     0.400000      4724609         1.67
       1.505     0.500000      5902130         2.00
       1.634     0.550000      6488742         2.22
       1.780     0.600000      7081104         2.50
       1.951     0.650000      7670164         2.86
       2.171     0.700000      8258417         3.33
       2.475     0.750000      8849279         4.00
       2.667     0.775000      9143552         4.44
       2.887     0.800000      9439026         5.00
       3.129     0.825000      9734058         5.71
       3.401     0.850000     10029320         6.67
       3.725     0.875000     10323530         8.00
       3.915     0.887500     10471017         8.89
       4.115     0.900000     10618868        10.00
       4.339     0.912500     10767090        11.43
       4.599     0.925000     10912853        13.33
       4.959     0.937500     11061323        16.00
       5.179     0.943750     11134081        17.78
       5.447     0.950000     11208007        20.00
       5.787     0.956250     11281988        22.86
       6.203     0.962500     11355202        26.67
       6.811     0.968750     11428844        32.00
       7.255     0.971875     11465730        35.56
       7.831     0.975000     11502567        40.00
       8.527     0.978125     11539572        45.71
       9.495     0.981250     11576512        53.33
      10.671     0.984375     11613290        64.00
      11.335     0.985938     11631716        71.11
      12.079     0.987500     11650186        80.00
      12.927     0.989062     11668480        91.43
      13.967     0.990625     11686922       106.67
      15.159     0.992188     11705401       128.00
      15.839     0.992969     11714599       142.22
      16.623     0.993750     11723781       160.00
      17.615     0.994531     11733104       182.86
      18.751     0.995313     11742262       213.33
      20.207     0.996094     11751457       256.00
      21.247     0.996484     11756075       284.44
      22.431     0.996875     11760640       320.00
      23.599     0.997266     11765233       365.71
      24.895     0.997656     11769841       426.67
      26.463     0.998047     11774482       512.00
      27.311     0.998242     11776762       568.89
      28.271     0.998437     11779095       640.00
      29.375     0.998633     11781390       731.43
      30.607     0.998828     11783674       853.33
      31.999     0.999023     11785974      1024.00
      32.799     0.999121     11787145      1137.78
      33.695     0.999219     11788292      1280.00
      34.719     0.999316     11789454      1462.86
      35.839     0.999414     11790597      1706.67
      37.215     0.999512     11791735      2048.00
      38.015     0.999561     11792328      2275.56
      38.911     0.999609     11792900      2560.00
      39.871     0.999658     11793460      2925.71
      41.087     0.999707     11794040      3413.33
      42.591     0.999756     11794616      4096.00
      43.359     0.999780     11794898      4551.11
      44.319     0.999805     11795198      5120.00
      45.343     0.999829     11795484      5851.43
      46.783     0.999854     11795770      6826.67
      48.383     0.999878     11796052      8192.00
      49.311     0.999890     11796195      9102.22
      50.463     0.999902     11796339     10240.00
      51.775     0.999915     11796486     11702.86
      53.247     0.999927     11796626     13653.33
      55.039     0.999939     11796771     16384.00
      56.031     0.999945     11796842     18204.44
      57.471     0.999951     11796914     20480.00
      59.103     0.999957     11796986     23405.71
