Running 10m test @ http://localhost:9999/math/plus?x=1&y=2
  16 threads and 400 connections
  Thread calibration: mean lat.: 2.286ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.336ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.091ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.311ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.280ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.330ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.433ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.423ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.402ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.874ms, rate sampling interval: 13ms
  Thread calibration: mean lat.: 2.192ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.315ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.369ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.251ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.467ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.349ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     2.34ms    3.47ms 114.11ms   92.26%
    Req/Sec     1.32k   580.39     6.44k    59.47%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.38ms
 75.000%    2.33ms
 90.000%    4.28ms
 99.000%   17.22ms
 99.900%   35.81ms
 99.990%   60.00ms
 99.999%   93.06ms
100.000%  114.18ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.076     0.000000            1         1.00
       0.522     0.100000      1182573         1.11
       0.765     0.200000      2361963         1.25
       0.971     0.300000      3544300         1.43
       1.167     0.400000      4722251         1.67
       1.384     0.500000      5899124         2.00
       1.516     0.550000      6488756         2.22
       1.669     0.600000      7080217         2.50
       1.849     0.650000      7671348         2.86
       2.065     0.700000      8260273         3.33
       2.331     0.750000      8848385         4.00
       2.491     0.775000      9146140         4.44
       2.673     0.800000      9438937         5.00
       2.891     0.825000      9734760         5.71
       3.165     0.850000     10028601         6.67
       3.555     0.875000     10323298         8.00
       3.847     0.887500     10470670         8.89
       4.279     0.900000     10618353        10.00
       4.971     0.912500     10765633        11.43
       6.059     0.925000     10913176        13.33
       7.227     0.937500     11060562        16.00
       7.755     0.943750     11134432        17.78
       8.319     0.950000     11207960        20.00
       9.031     0.956250     11281799        22.86
       9.863     0.962500     11355427        26.67
      10.839     0.968750     11428994        32.00
      11.359     0.971875     11466063        35.56
      11.895     0.975000     11502672        40.00
      12.527     0.978125     11539549        45.71
      13.279     0.981250     11576691        53.33
      14.215     0.984375     11613507        64.00
      14.791     0.985938     11631864        71.11
      15.503     0.987500     11650236        80.00
      16.463     0.989062     11668724        91.43
      17.759     0.990625     11687093       106.67
      19.231     0.992188     11705423       128.00
      20.143     0.992969     11714620       142.22
      21.375     0.993750     11723849       160.00
      22.751     0.994531     11733156       182.86
      24.127     0.995313     11742326       213.33
      25.759     0.996094     11751535       256.00
      26.703     0.996484     11756125       284.44
      27.663     0.996875     11760722       320.00
      28.687     0.997266     11765319       365.71
      29.823     0.997656     11769961       426.67
      31.135     0.998047     11774550       512.00
      31.855     0.998242     11776865       568.89
      32.703     0.998437     11779166       640.00
      33.631     0.998633     11781464       731.43
      34.687     0.998828     11783772       853.33
      35.967     0.999023     11786056      1024.00
      36.799     0.999121     11787216      1137.78
      37.727     0.999219     11788362      1280.00
      38.783     0.999316     11789514      1462.86
      39.999     0.999414     11790665      1706.67
      41.759     0.999512     11791821      2048.00
      42.783     0.999561     11792390      2275.56
      43.839     0.999609     11792966      2560.00
      45.151     0.999658     11793541      2925.71
      46.815     0.999707     11794125      3413.33
      48.767     0.999756     11794699      4096.00
      49.823     0.999780     11794986      4551.11
      51.103     0.999805     11795270      5120.00
      52.703     0.999829     11795558      5851.43
      54.623     0.999854     11795842      6826.67
      56.863     0.999878     11796131      8192.00
      58.623     0.999890     11796274      9102.22
      60.447     0.999902     11796419     10240.00
      63.455     0.999915     11796562     11702.86
      67.007     0.999927     11796706     13653.33
      69.951     0.999939     11796852     16384.00
      71.615     0.999945     11796926     18204.44
      73.407     0.999951     11796996     20480.00
      75.519     0.999957     11797067     23405.71
