Running 10m test @ http://localhost:9999/math/plus?x=1&y=2
  16 threads and 400 connections
  Thread calibration: mean lat.: 1.194ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.181ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.240ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.218ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.207ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.171ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.167ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.180ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.186ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.190ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.182ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.205ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.285ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.214ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.239ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.236ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     1.17ms    1.28ms 103.10ms   97.10%
    Req/Sec     1.98k   463.58     8.78k    71.48%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.03ms
 75.000%    1.40ms
 90.000%    1.77ms
 99.000%    5.60ms
 99.900%   15.40ms
 99.990%   44.38ms
 99.999%   75.71ms
100.000%  103.17ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.074     0.000000            2         1.00
       0.422     0.100000      1773943         1.11
       0.601     0.200000      3540703         1.25
       0.754     0.300000      5314041         1.43
       0.894     0.400000      7083834         1.67
       1.030     0.500000      8857353         2.00
       1.097     0.550000      9738462         2.22
       1.165     0.600000     10628169         2.50
       1.236     0.650000     11505373         2.86
       1.313     0.700000     12393537         3.33
       1.397     0.750000     13273225         4.00
       1.444     0.775000     13719379         4.44
       1.495     0.800000     14164548         5.00
       1.551     0.825000     14605740         5.71
       1.614     0.850000     15047383         6.67
       1.686     0.875000     15487852         8.00
       1.727     0.887500     15710439         8.89
       1.772     0.900000     15931085        10.00
       1.823     0.912500     16151738        11.43
       1.883     0.925000     16371335        13.33
       1.958     0.937500     16592411        16.00
       2.004     0.943750     16702522        17.78
       2.059     0.950000     16813641        20.00
       2.127     0.956250     16924179        22.86
       2.219     0.962500     17033145        26.67
       2.369     0.968750     17143999        32.00
       2.493     0.971875     17198694        35.56
       2.699     0.975000     17253835        40.00
       3.035     0.978125     17309132        45.71
       3.519     0.981250     17364549        53.33
       4.143     0.984375     17419872        64.00
       4.499     0.985938     17447545        71.11
       4.911     0.987500     17475069        80.00
       5.343     0.989062     17502800        91.43
       5.799     0.990625     17530428       106.67
       6.419     0.992188     17558035       128.00
       6.795     0.992969     17571861       142.22
       7.219     0.993750     17585732       160.00
       7.667     0.994531     17599522       182.86
       8.075     0.995313     17613318       213.33
       8.503     0.996094     17627217       256.00
       8.839     0.996484     17634156       284.44
       9.271     0.996875     17641009       320.00
       9.815     0.997266     17647881       365.71
      10.423     0.997656     17654756       426.67
      11.327     0.998047     17661688       512.00
      11.959     0.998242     17665163       568.89
      12.607     0.998437     17668605       640.00
      13.335     0.998633     17672071       731.43
      14.271     0.998828     17675502       853.33
      15.575     0.999023     17678969      1024.00
      16.191     0.999121     17680693      1137.78
      17.023     0.999219     17682404      1280.00
      18.111     0.999316     17684134      1462.86
      19.439     0.999414     17685874      1706.67
      21.199     0.999512     17687594      2048.00
      22.207     0.999561     17688460      2275.56
      23.439     0.999609     17689318      2560.00
      24.959     0.999658     17690188      2925.71
      26.815     0.999707     17691058      3413.33
      29.071     0.999756     17691913      4096.00
      30.447     0.999780     17692342      4551.11
      32.287     0.999805     17692773      5120.00
      34.591     0.999829     17693209      5851.43
      37.151     0.999854     17693643      6826.67
      40.319     0.999878     17694071      8192.00
      42.495     0.999890     17694286      9102.22
      44.767     0.999902     17694501     10240.00
      47.199     0.999915     17694722     11702.86
      49.919     0.999927     17694936     13653.33
      52.735     0.999939     17695150     16384.00
      54.239     0.999945     17695259     18204.44
      55.583     0.999951     17695367     20480.00
      57.727     0.999957     17695473     23405.71
