Running 10m test @ http://localhost:9999/math/plus?x=1&y=2
  16 threads and 400 connections
  Thread calibration: mean lat.: 1.678ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.672ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.716ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.538ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.699ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.426ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.672ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.770ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.778ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.571ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.708ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.511ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.801ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.416ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.657ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.743ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     1.56ms    2.07ms 128.26ms   95.57%
    Req/Sec     1.98k   583.19     7.11k    75.37%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.19ms
 75.000%    1.73ms
 90.000%    2.58ms
 99.000%    9.05ms
 99.900%   28.08ms
 99.990%   52.58ms
 99.999%   88.06ms
100.000%  128.32ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.067     0.000000            1         1.00
       0.480     0.100000      1770953         1.11
       0.688     0.200000      3543628         1.25
       0.866     0.300000      5316048         1.43
       1.032     0.400000      7085659         1.67
       1.193     0.500000      8853062         2.00
       1.279     0.550000      9738075         2.22
       1.371     0.600000     10620731         2.50
       1.473     0.650000     11505430         2.86
       1.591     0.700000     12389015         3.33
       1.733     0.750000     13272468         4.00
       1.818     0.775000     13719283         4.44
       1.914     0.800000     14158148         5.00
       2.028     0.825000     14600759         5.71
       2.165     0.850000     15045885         6.67
       2.339     0.875000     15486378         8.00
       2.449     0.887500     15705752         8.89
       2.583     0.900000     15927126        10.00
       2.745     0.912500     16148930        11.43
       2.939     0.925000     16370748        13.33
       3.171     0.937500     16591817        16.00
       3.305     0.943750     16701297        17.78
       3.459     0.950000     16812179        20.00
       3.651     0.956250     16922918        22.86
       3.919     0.962500     17032611        26.67
       4.367     0.968750     17143783        32.00
       4.703     0.971875     17198980        35.56
       5.139     0.975000     17253907        40.00
       5.695     0.978125     17309322        45.71
       6.351     0.981250     17364431        53.33
       7.131     0.984375     17419912        64.00
       7.587     0.985938     17447546        71.11
       8.079     0.987500     17474990        80.00
       8.639     0.989062     17502670        91.43
       9.335     0.990625     17530413       106.67
      10.223     0.992188     17557949       128.00
      10.815     0.992969     17571829       142.22
      11.447     0.993750     17585653       160.00
      12.295     0.994531     17599471       182.86
      13.543     0.995313     17613243       213.33
      15.415     0.996094     17627085       256.00
      16.415     0.996484     17634065       284.44
      17.471     0.996875     17640890       320.00
      18.751     0.997266     17647869       365.71
      20.207     0.997656     17654770       426.67
      21.887     0.998047     17661644       512.00
      22.815     0.998242     17665108       568.89
      23.887     0.998437     17668568       640.00
      25.103     0.998633     17672022       731.43
      26.559     0.998828     17675488       853.33
      28.303     0.999023     17678920      1024.00
      29.359     0.999121     17680654      1137.78
      30.399     0.999219     17682366      1280.00
      31.551     0.999316     17684096      1462.86
      32.927     0.999414     17685821      1706.67
      34.655     0.999512     17687578      2048.00
      35.679     0.999561     17688428      2275.56
      36.799     0.999609     17689284      2560.00
      38.079     0.999658     17690151      2925.71
      39.583     0.999707     17691006      3413.33
      41.695     0.999756     17691869      4096.00
      43.007     0.999780     17692307      4551.11
      44.479     0.999805     17692733      5120.00
      46.111     0.999829     17693169      5851.43
      47.999     0.999854     17693600      6826.67
      50.143     0.999878     17694029      8192.00
      51.391     0.999890     17694251      9102.22
      52.767     0.999902     17694462     10240.00
      54.879     0.999915     17694677     11702.86
      57.119     0.999927     17694894     13653.33
      59.903     0.999939     17695112     16384.00
      61.407     0.999945     17695218     18204.44
      62.975     0.999951     17695325     20480.00
      64.543     0.999957     17695434     23405.71
