Running 10m test @ http://localhost:9999/math/plus?x=1&y=2
  16 threads and 400 connections
  Thread calibration: mean lat.: 4.981ms, rate sampling interval: 28ms
  Thread calibration: mean lat.: 4.958ms, rate sampling interval: 27ms
  Thread calibration: mean lat.: 4.678ms, rate sampling interval: 26ms
  Thread calibration: mean lat.: 4.802ms, rate sampling interval: 27ms
  Thread calibration: mean lat.: 5.103ms, rate sampling interval: 29ms
  Thread calibration: mean lat.: 4.747ms, rate sampling interval: 26ms
  Thread calibration: mean lat.: 4.940ms, rate sampling interval: 27ms
  Thread calibration: mean lat.: 4.529ms, rate sampling interval: 27ms
  Thread calibration: mean lat.: 4.692ms, rate sampling interval: 25ms
  Thread calibration: mean lat.: 4.889ms, rate sampling interval: 28ms
  Thread calibration: mean lat.: 5.210ms, rate sampling interval: 29ms
  Thread calibration: mean lat.: 4.971ms, rate sampling interval: 27ms
  Thread calibration: mean lat.: 4.335ms, rate sampling interval: 25ms
  Thread calibration: mean lat.: 4.944ms, rate sampling interval: 28ms
  Thread calibration: mean lat.: 4.802ms, rate sampling interval: 27ms
  Thread calibration: mean lat.: 4.678ms, rate sampling interval: 26ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     4.14ms    7.18ms 179.97ms   90.32%
    Req/Sec     1.91k   374.73     4.48k    77.85%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.45ms
 75.000%    3.49ms
 90.000%   11.01ms
 99.000%   36.16ms
 99.900%   59.10ms
 99.990%   86.53ms
 99.999%  119.04ms
100.000%  180.10ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.081     0.000000            5         1.00
       0.548     0.100000      1774424         1.11
       0.792     0.200000      3544356         1.25
       1.004     0.300000      5311208         1.43
       1.209     0.400000      7083193         1.67
       1.446     0.500000      8849144         2.00
       1.595     0.550000      9734774         2.22
       1.779     0.600000     10620034         2.50
       2.034     0.650000     11504718         2.86
       2.499     0.700000     12389887         3.33
       3.493     0.750000     13272589         4.00
       4.267     0.775000     13716316         4.44
       5.199     0.800000     14157929         5.00
       6.279     0.825000     14599455         5.71
       7.523     0.850000     15042273         6.67
       9.007     0.875000     15486085         8.00
       9.903     0.887500     15706032         8.89
      11.007     0.900000     15927605        10.00
      12.399     0.912500     16148179        11.43
      14.199     0.925000     16369688        13.33
      16.415     0.937500     16590213        16.00
      17.663     0.943750     16701273        17.78
      19.007     0.950000     16812060        20.00
      20.479     0.956250     16922376        22.86
      22.143     0.962500     17033175        26.67
      24.079     0.968750     17143521        32.00
      25.231     0.971875     17199121        35.56
      26.511     0.975000     17253845        40.00
      28.031     0.978125     17309522        45.71
      29.743     0.981250     17364485        53.33
      31.695     0.984375     17419806        64.00
      32.799     0.985938     17447900        71.11
      33.983     0.987500     17475365        80.00
      35.295     0.989062     17503059        91.43
      36.767     0.990625     17530632       106.67
      38.527     0.992188     17558263       128.00
      39.551     0.992969     17571845       142.22
      40.767     0.993750     17585863       160.00
      42.143     0.994531     17599521       182.86
      43.743     0.995313     17613458       213.33
      45.535     0.996094     17627201       256.00
      46.559     0.996484     17634166       284.44
      47.647     0.996875     17640985       320.00
      48.895     0.997266     17647865       365.71
      50.367     0.997656     17654837       426.67
      52.031     0.998047     17661660       512.00
      53.087     0.998242     17665139       568.89
      54.335     0.998437     17668577       640.00
      55.775     0.998633     17672004       731.43
      57.503     0.998828     17675519       853.33
      59.359     0.999023     17678934      1024.00
      60.415     0.999121     17680695      1137.78
      61.631     0.999219     17682401      1280.00
      62.975     0.999316     17684104      1462.86
      64.543     0.999414     17685851      1706.67
      66.559     0.999512     17687587      2048.00
      67.711     0.999561     17688435      2275.56
      69.119     0.999609     17689304      2560.00
      70.719     0.999658     17690170      2925.71
      72.511     0.999707     17691030      3413.33
      74.687     0.999756     17691877      4096.00
      75.967     0.999780     17692323      4551.11
      77.439     0.999805     17692743      5120.00
      79.103     0.999829     17693179      5851.43
      81.279     0.999854     17693617      6826.67
      83.711     0.999878     17694036      8192.00
      85.311     0.999890     17694258      9102.22
      86.911     0.999902     17694470     10240.00
      88.639     0.999915     17694684     11702.86
      90.623     0.999927     17694907     13653.33
      92.607     0.999939     17695119     16384.00
      93.951     0.999945     17695226     18204.44
      95.871     0.999951     17695332     20480.00
      97.983     0.999957     17695441     23405.71
